Unique Signature,Number of downloads,Price,Total,Savings
00PCLNAME CACI FILED 01/01/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME ACACIA FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME INTEL FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGE WASHINGTON FILED 07/21/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERICAN UNIVERSITY FILED 05/01/2014 TO 08/06/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME JAHODA,  ROBERT ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME JAHODA,  ROBERT ALL COURTS  PAGE: 2ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCL14-2075 MARYLAND  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
"00PCLNAME MCDONALD,  JEFFREY ALL COURTS  PAGE: 1CRIMINAL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MCDONALD,  JEFFREY FOURTH CIRCUIT  PAGE: 1APPELLATE PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MCDONALD,  JEFFREY ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MCDONALD,  JEFFREY ALL COURTS  PAGE: 1  SORT: COURT_IDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MCDONALD,  JEFFREY ALL COURTS  PAGE: 4  SORT: COURT_IDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCL13-2446 MARYLAND  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-2926 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-891 ALL COURTS  PAGE: 2CIVIL CASE SEARCH,1,$0.10,$0.10,$0
"00PCLNAME MERRICK,  GLENN ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MERRICK,  GLENN ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME MERRICK,  GLENN ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",2,$0.10,$0.20,$0.10
"00PCLNAME MERRICK,  GLENN ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDALL COURT TYPES PARTY SEARCH",2,$0.10,$0.20,$0.10
00PCLNAME CVS ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,3,$0.10,$0.30,$0.20
00PCLNAME GIANT OF MARYLAND ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT OF MARYLAND ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-61166 FLORIDA SOUTHERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-3716 NEW YORK EASTERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
"00PCLNAME HEINZL,  SARAH PENNSYLVANIA  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME CVS ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME WASHINGTON COMMUNITIES ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME CACI FILED 05/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 01/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 08/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/01/2014 TO 08/18/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME HOLIDAY CVS ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCL1:14-CV-02075 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE INVESTMENT FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 08/01/2014 TO 08/20/2014 CALIFORNIA  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME WARIS,  ALI FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GOERGETOWN FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GOERGE WASHINGTON FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGE WASHINGTON FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERICAN UNIVERSITY FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 08/01/2014 TO 08/20/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME DEEDS,  RICHARD ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 04/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 08/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 02/01/2014 TO 08/21/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MEDICASOFT ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL2:13-CV-891 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME BOYER-LIBERTO ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,4,$0.10,$0.40,$0.30
00PCLNAME ALLISON NEVADA  PAGE: 1CIVIL PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME ALLISON NEVADA  PAGE: 1  SORT: CS_DATE_FILEDCIVIL PARTY SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME GIANT FILED 05/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 05/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 05/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 01/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 01/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE INVESTMENT FILED 08/01/2014 TO 08/25/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME COX,  MARK DISTRICT OF COLUMBIA  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME SINGULARITY DISTRICT OF COLUMBIA  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SINGULARITY ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME COX,  MARK ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME COX,  MARK ALL COURTS  PAGE: 1  SORT: COURT_IDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME COX,  MARK ALL COURTS  PAGE: 8  SORT: COURT_IDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME COX,  MARK ALL COURTS  PAGE: 7  SORT: COURT_IDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME VIRGINIA RAILWAY EXPRESS VIRGINIA  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME VIRGINIA RAILWAY EXPRESS ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED ON OR AFTER 05/01/2014 CLOSED ON OR AFTER 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 05/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 05/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 05/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 08/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 08/01/2014 TO 08/26/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL13-841 ALL COURTS  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 05/01/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CAMBRIDGE FILED 08/18/2014 TO 09/02/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 04/01/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 08/25/2014 TO 09/05/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIGNATURE SCIENCE ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL13-CV-2446 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,2,$0.10,$0.20,$0.10
00PCLNAME MCCARTY NORTH CAROLINA  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-74 DISTRICT OF COLUMBIA  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-1074 DISTRICT OF COLUMBIA  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLFILED 06/01/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 08/18/2014 TO 09/08/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL12-57253 NINTH CIRCUIT  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/09/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/25/2014 TO 09/09/2014 ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/17/2014 TO 09/09/2014 ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 08/17/2014 TO 09/09/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 08/17/2014 TO 09/09/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 08/17/2014 TO 09/09/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 08/17/2014 TO 09/09/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME GREEN,  ROSIE ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME HENRY,  JEANETTE ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/11/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME HENRY,  JEANETT PALACIOS ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME HENRY,  JEANETT PALACIOS ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCL01-1479 PENNSYLVANIA EASTERN  PAGE: 1CIVIL CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME MICROSTRATEGY FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1  SORT: CS_DATE_FILEDALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CALVERT FILED 06/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 2  SORT: CS_DATE_FILEDALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME INTEL FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME COMPUTER SCIENCE FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME USA TODAY FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CVS FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME LIBERTO ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME FONTAINEBLEAU ALL COURTS  PAGE: 1CIVIL PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME FONTAINEBLEAU ALL COURTS  PAGE: 1APPELLATE PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGETOWN FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GEORGE WASHINGTON UNIVERSITY FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERICAN UNIVERSITY FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
